"Airport ID","Name","City","Country","IATA","ICAO","Latitude","Longitude","Altitude","Timezone","DST","Tz database time zone","Type","Source","Change","Percentage","Increase/Decrease"
106,"Port Menier Airport","Port Menier","Canada","YPN","CYPN",49.83639907836914,-64.28859710693361,167,"-5","A","America/Toronto","airport","OurAirports",114.12499618530275,645.1759638917677,"Increase"
107,"Peterborough Airport","Peterborough","Canada","YPQ","CYPQ",44.22999954223633,-78.36329650878906,628,"-5","A","America/Toronto","airport","OurAirports",122.59329605102539,786.4046878398649,"Increase"
108,"Prince Rupert Airport","Prince Pupert","Canada","YPR","CYPR",54.2860984802,-130.445007324,116,"-8","A","America/Vancouver","airport","OurAirports",184.73110580419998,1307.8529905793548,"Increase"
109,"Fort Chipewyan Airport","Fort Chipewyan","Canada","YPY","CYPY",58.7672004699707,-111.11699676513672,761,"-7","A","America/Edmonton","airport","OurAirports",169.88419723510742,1114.060767210926,"Increase"
110,"Muskoka Airport","Muskoka","Canada","YQA","CYQA",44.974700927734375,-79.30329895019531,925,"-5","A","America/Toronto","airport","OurAirports",124.27799987792969,795.7962763568812,"Increase"
111,"Quebec Jean Lesage International Airport","Quebec","Canada","YQB","CYQB",46.7911,-71.393303,244,"-5","A","America/Toronto","airport","OurAirports",118.184403,716.4588180879057,"Increase"
112,"Red Deer Regional Airport","Red Deer Industrial","Canada","YQF","CYQF",52.18220138549805,-113.8939971923828,2968,"-7","A","America/Edmonton","airport","OurAirports",166.07619857788086,1142.1225934723323,"Increase"
113,"Windsor Airport","Windsor","Canada","YQG","CYQG",42.27560043334961,-82.95559692382812,622,"-5","A","America/Toronto","airport","OurAirports",125.23119735717773,832.518226333946,"Increase"
114,"Watson Lake Airport","Watson Lake","Canada","YQH","CYQH",60.11640167236328,-128.82200622558594,2255,"-8","A","America/Vancouver","airport","OurAirports",188.93840789794922,1291.3629384534015,"Increase"
115,"Kenora Airport","Kenora","Canada","YQK","CYQK",49.78829956054688,-94.36309814453124,1332,"-6","A","America/Winnipeg","airport","OurAirports",144.15139770507812,946.5262680684231,"Increase"
116,"Lethbridge County Airport","Lethbridge","Canada","YQL","CYQL",49.6302986145,-112.80000305200001,3048,"-7","A","America/Edmonton","airport","OurAirports",162.43030166650001,1131.2728357660085,"Increase"
117,"Greater Moncton International Airport","Moncton","Canada","YQM","CYQM",46.11220169067383,-64.67859649658203,232,"-4","A","America/Halifax","airport","OurAirports",110.79079818725586,649.1886001496802,"Increase"
119,"Comox Airport","Comox","Canada","YQQ","CYQQ",49.71080017089844,-124.88700103759766,84,"-8","A","America/Vancouver","airport","OurAirports",174.5978012084961,1252.3822813635336,"Increase"
120,"Regina International Airport","Regina","Canada","YQR","CYQR",50.43190002441406,-104.66600036621094,1894,"-6","N","America/Regina","airport","OurAirports",155.097900390625,1049.7353964257281,"Increase"
121,"Thunder Bay Airport","Thunder Bay","Canada","YQT","CYQT",48.37189865112305,-89.32389831542969,653,"-5","A","America/Toronto","airport","OurAirports",137.69579696655273,896.0855903954074,"Increase"
122,"Grande Prairie Airport","Grande Prairie","Canada","YQU","CYQU",55.1796989441,-118.885002136,2195,"-7","A","America/Edmonton","airport","OurAirports",174.0647010801,1192.0045275354767,"Increase"
123,"Yorkton Municipal Airport","Yorkton","Canada","YQV","CYQV",51.26470184326172,-102.46199798583984,1635,"-6","N","America/Regina","airport","OurAirports",153.72669982910156,1027.6186650024008,"Increase"
124,"North Battleford Airport","North Battleford","Canada","YQW","CYQW",52.76919937133789,-108.24400329589844,1799,"-6","N","America/Regina","airport","OurAirports",161.01320266723633,1085.4913053789842,"Increase"
125,"Gander International Airport","Gander","Canada","YQX","CYQX",48.9369010925293,-54.56809997558594,496,"-3.5","A","America/St_Johns","airport","OurAirports",103.50500106811523,547.796070362239,"Increase"
126,"Sydney / J.A. Douglas McCurdy Airport","Sydney","Canada","YQY","CYQY",46.1614,-60.047798,203,"-4","A","America/Halifax","airport","OurAirports",106.209198,602.7788027220145,"Increase"
127,"Quesnel Airport","Quesnel","Canada","YQZ","CYQZ",53.026100158691406,-122.51000213623048,1789,"-8","A","America/Vancouver","airport","OurAirports",175.53610229492188,1228.4103930805643,"Increase"
128,"Resolute Bay Airport","Resolute","Canada","YRB","CYRB",74.71690368649999,-94.9693984985,215,"-6","A","America/Winnipeg","airport","OurAirports",169.686302185,951.9650413833886,"Increase"
129,"Rivi̬re-du-Loup Airport","Riviere Du Loup","Canada","YRI","CYRI",47.76440048217773,-69.58470153808594,427,"-5","A","America/Toronto","airport","OurAirports",117.34910202026367,698.3038472647653,"Increase"
130,"Roberval Airport","Roberval","Canada","YRJ","CYRJ",48.52000045776367,-72.2656021118164,586,"-5","A","America/Toronto","airport","OurAirports",120.78560256958008,725.1454193339518,"Increase"
131,"Rocky Mountain House Airport","Rocky Mountain House","Canada","YRM","CYRM",52.4296989441,-114.903999329,3244,"-7","A","America/Edmonton","airport","OurAirports",167.3336982731,1152.231575573383,"Increase"
132,"Rankin Inlet Airport","Rankin Inlet","Canada","YRT","CYRT",62.811401367200006,-92.1157989502,94,"-6","A","America/Winnipeg","airport","OurAirports",154.9272003174,923.624535335163,"Increase"
133,"Sudbury Airport","Sudbury","Canada","YSB","CYSB",46.625,-80.79889678955078,1141,"-5","A","America/Toronto","airport","OurAirports",127.42389678955078,810.7219201054713,"Increase"
134,"Sherbrooke Airport","Sherbrooke","Canada","YSC","CYSC",45.4385986328125,-71.69139862060547,792,"-5","A","America/Toronto","airport","OurAirports",117.12999725341797,719.4917505028795,"Increase"
135,"Saint John Airport","St. John","Canada","YSJ","CYSJ",45.31610107421875,-65.89029693603516,357,"-4","A","America/Halifax","airport","OurAirports",111.2063980102539,661.3569844978878,"Increase"
136,"Fort Smith Airport","Fort Smith","Canada","YSM","CYSM",60.020301818847656,-111.96199798583984,671,"-7","A","America/Edmonton","airport","OurAirports",171.9822998046875,1122.4853819738987,"Increase"
137,"Nanisivik Airport","Nanisivik","Canada","YSR","CYSR",72.982201,-84.613602,2106,"-5","A","America/Toronto","airport","OurAirports",157.595803,848.2953931189335,"Increase"
138,"Summerside Airport","Summerside","Canada","YSU","CYSU",46.44060134887695,-63.83359909057617,56,"-4","A","America/Halifax","airport","OurAirports",110.27420043945312,640.7105122779343,"Increase"
139,"Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport","Sachs Harbour","Canada","YSY","CYSY",71.9938964844,-125.24299621600001,282,"-7","A","America/Edmonton","airport","OurAirports",197.2368927004,1255.1695956891165,"Increase"
140,"Cape Dorset Airport","Cape Dorset","Canada","YTE","CYTE",64.2300033569,-76.5267028809,164,"-5","A","America/Toronto","airport","OurAirports",140.75670623780002,767.4584767131154,"Increase"
